status,label
"আমরা আশা করি, ছাত্রশিবির নেতাকর্মীসহ সমাজের প্রতিটি শ্রেণী-পেশার মানুষ দুস্থ মানুষের শীতের কষ্ট লাঘবে এগিয়ে আসবে।"",",4
"সোজা কথায় কাজ হয় না, ঘাড় ধাক্কা দিয়া বললে ঠিক ই কাজ করে - # -",5
"আত্মরক্ষার প্রয়াস সর্বাবস্থায় নারীপুরুষ নির্বিশেষে সবার জন্যই ফরজঃ  হযরত আবুল আওআর সাঈদ ইবনে জায়েদ হতে বর্ণিত। তিনি বলেন, আমি রাসুলুল্লাহ সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম কে বলতে শুনেছি, যে ব্যক্তি তার মালধন রক্ষা করতে গিয়ে খুন হয়, সে শহীদ । যে ব্যক্তি নিজ রক্ত প্রান রক্ষা করতে গিয়ে খুন হয়, সে শহীদ । যে তার দ্বীন রক্ষা করতে গিয়ে খুন হয়, সে শহীদ এবং যে তার পরিবার রক্ষা করতে গিয়ে খুন হয়, সেও শহীদ ।  আবু দাউদঃ ৪৭৭২, তিরমিযীঃ ১৪১৮",1
"দাওয়াত ও তাবলীগ এর মৌলিক পরিচয়ঃ  দুনিয়ার বুকে আল্লাহ তায়ালার মনোনীত সমস্ত নবীরসুল আলাইহিমুসসালামগণের নবুওয়াতী মিশনের  সর্বপ্রথম ও সর্বপ্রধান কর্মসুচি ছিল দাওয়াত ও তাবলীগ।  দাওয়াত  দাওয়াত হল আল্লাহর দিকে মানুষদের আহবান করা, আল্লাহ তায়ালার বান্দাদের কাছে তাদের প্রভুর পরিচয় তুলে ধরা, প্রভুর গোলামীর দিকে ডাকা ও প্রভু সাথে বান্দার সংযোগ স্থাপন।  আল্লাহ তায়ালা বলেন         ...",1
"বালকটি বৃষ্টি পাগল. অনেকদিন বৃষ্টির অপেক্ষায় পুরো শীতটা কোনরকমে কাটিয়ে দিলেও কাল রাতে যেন বৃষ্টি নিয়ে সব স্মৃতি আর কল্পনাগুলো হাতড়ে বেরাচ্ছিল. প্রকৃতি কার্পণ্য করেনি. প্রথম বৃষ্টি, আর ভিজব না,তা কি করে হয়. #সিলেট < #",5
"ক্লিন ক্যাম্পাস,সেফ ক্যাম্পাস কর্মসূচী বুটেক্স ক্যাম্পাস -) করটেসিরিফাত",5
একই সাথে জাতি আদালতকে ন্যায় বিচারের প্রতীক ও স্থান হিসেবে দেখতে চায়।,4
যারা ঈমান এনেছে আল্লাহ তাদের অভিভাবক ও বন্ধুঃ  আল্লাহ তায়ালা ঘোষণা করেনঃ যারা ঈমান এনেছে আল্লাহ তাদের অভিভাবক ও বন্ধু। আল্লাহ তাদেরকে অন্ধকার থেকে বের করে আলোর দিকে পরিচালিত করেন। আর যারা কুফরি করে তাদের অভিভাবক ও বন্ধু হল তাগুত। তারা তাদেরকে আলো থেকে বের করে অন্ধকারের দিকে পরিচালিত করে। তারাই জাহান্নামের অধিবাসী এবং সেখানে তারা চিরদিন থাকবে।   সূরা বাকারাহ  আয়াত ২৫৭,1
-বিছানাকান্দি-.,2
তুমি সফল হবে নাকি ব্যর্থ হবে এ্টা নির্ভর করে তুমি কীভাবে প্ল্যান বা চিন্তা করো তার উপর।,5
ইসলামের মৌলিক বিষয়াদি সম্পর্কে জানার জন্য পেইজটিতে লাইক দিয়ে সংযুক্ত থাকুন।,1
